category,job,characters,movie,person
writer,written by,\N,Donnie Darko,Richard Kelly
actor,\N,"[""Reinaldo Arenas""]",Before Night Falls,Javier Bardem
actor,\N,"[""Bon Bon""]",Before Night Falls,Johnny Depp
actor,\N,"[""Lieutenant Victor""]",Before Night Falls,Johnny Depp
director,\N,\N,Before Night Falls,Julian Schnabel
writer,written by,\N,Before Night Falls,Cunningham O'Keefe
actor,\N,"[""Danny Balint""]",The Believer,Ryan Gosling
actress,\N,"[""Carla Moebius""]",The Believer,Summer Phoenix
actor,\N,"[""Orthodox Student""]",The Believer,Peter Meadows
director,\N,\N,The Believer,Henry Bean
writer,screenplay,\N,The Believer,Henry Bean
actor,\N,"[""Matt Fowler""]",In the Bedroom,Tom Wilkinson
actress,\N,"[""Ruth Fowler""]",In the Bedroom,Sissy Spacek
actor,\N,"[""Frank Fowler""]",In the Bedroom,Nick Stahl
director,director,\N,In the Bedroom,Todd Field
writer,"story ""Killings""",\N,In the Bedroom,Andre Dubus
actor,\N,"[""Marcos""]",Nueve reinas,Ricardo Darín
actor,\N,"[""Juan""]",Nueve reinas,Gastón Pauls
actress,\N,"[""Convenience Store Employee""]",Nueve reinas,Graciela Tenenbaum
director,director,\N,Nueve reinas,Fabián Bielinsky
writer,written by,\N,Nueve reinas,Fabián Bielinsky
actor,\N,"[""Yongho""]",Bakhasatang,Sul Kyung-gu
actress,\N,"[""Hongja""]",Bakhasatang,Kim Yeo-jin
actress,\N,"[""Sunim""]",Bakhasatang,Moon So-ri
director,\N,\N,Bakhasatang,Lee Chang-dong
writer,writer,\N,Bakhasatang,Lee Chang-dong
actor,\N,"[""Rahul Raichand""]",Kabhi Khushi Kabhie Gham...,Shah Rukh Khan
actress,\N,"[""Anjali Sharma""]",Kabhi Khushi Kabhie Gham...,Kajol
actor,\N,"[""Yashvardhan Raichand""]",Kabhi Khushi Kabhie Gham...,Amitabh Bachchan
director,\N,\N,Kabhi Khushi Kabhie Gham...,Karan Johar
writer,written by,\N,Kabhi Khushi Kabhie Gham...,Karan Johar
actor,\N,"[""Hedwig""]",Hedwig and the Angry Inch,John Cameron Mitchell
actress,\N,"[""Yitzhak""]",Hedwig and the Angry Inch,Miriam Shor
actor,\N,"[""Skszp - Band Member""]",Hedwig and the Angry Inch,Stephen Trask
director,\N,\N,Hedwig and the Angry Inch,John Cameron Mitchell
writer,"book for the musical play ""Hedwig and the Angry Inch""",\N,Hedwig and the Angry Inch,John Cameron Mitchell
actor,\N,"[""János Valuska""]",Werckmeister harmóniák,Lars Rudolph
actor,\N,"[""György Eszter""]",Werckmeister harmóniák,Peter Fitz
actress,\N,"[""Tünde Eszter""]",Werckmeister harmóniák,Hanna Schygulla
director,\N,\N,Werckmeister harmóniák,Béla Tarr
writer,"novel ""The Melancholy of Resistance""",\N,Werckmeister harmóniák,László Krasznahorkai
actor,\N,"[""Billy""]",Billy Elliot,Jamie Bell
actress,\N,"[""Mrs. Wilkinson""]",Billy Elliot,Julie Walters
actress,\N,"[""Grandma""]",Billy Elliot,Jean Heywood
director,\N,\N,Billy Elliot,Stephen Daldry
writer,written by,\N,Billy Elliot,Lee Hall
actor,\N,"[""Tarek Fahd Nr. 77""]",Das Experiment,Moritz Bleibtreu
actor,\N,"[""Robert Steinhoff Nr. 38""]",Das Experiment,Christian Berkel
actor,\N,"[""Günther Schütte Nr. 82""]",Das Experiment,Oliver Stokowski
director,\N,\N,Das Experiment,Oliver Hirschbiegel
writer,"novel ""Black Box""",\N,Das Experiment,Mario Giordano
actor,\N,"[""John Quincy Archibald""]",John Q,Denzel Washington
actor,\N,"[""Lt. Frank Grimes""]",John Q,Robert Duvall
actress,\N,"[""Beautiful BMW Driver""]",John Q,Gabriela Oltean
director,\N,\N,John Q,Nick Cassavetes
writer,written by,\N,John Q,James Kearns
actress,\N,"[""Molly Craig""]",Rabbit-Proof Fence,Everlyn Sampi
actress,\N,"[""Daisy Craig Kadibill""]",Rabbit-Proof Fence,Tianna Sansbury
actor,\N,"[""A.O. Neville""]",Rabbit-Proof Fence,Kenneth Branagh
director,\N,\N,Rabbit-Proof Fence,Phillip Noyce
writer,"book ""Follow the Rabbit-Proof Fence""",\N,Rabbit-Proof Fence,Doris Pilkington
actor,\N,"[""Mahmut Hoca""]",Hababam Sinifi,Münir Özkul
actor,\N,"[""Damat Ferit""]",Hababam Sinifi,Tarik Akan
actor,\N,"[""Güdük Necmi""]",Hababam Sinifi,Halit Akçatepe
director,\N,\N,Hababam Sinifi,Ertem Egilmez
writer,\N,\N,Hababam Sinifi,Umur Bugay
actor,\N,"[""Mahmut Hoca""]",Hababam Sinifi: Sinifta Kaldi,Münir Özkul
actor,\N,"[""Damat Ferit""]",Hababam Sinifi: Sinifta Kaldi,Tarik Akan
actor,\N,"[""Inek Saban""]",Hababam Sinifi: Sinifta Kaldi,Kemal Sunal
director,\N,\N,Hababam Sinifi: Sinifta Kaldi,Ertem Egilmez
writer,writer,\N,Hababam Sinifi: Sinifta Kaldi,Sadik Sendil
actor,\N,"[""Mahmut Hoca""]",Hababam Sinifi: Tatilde,Münir Özkul
actor,\N,"[""Inek Saban""]",Hababam Sinifi: Tatilde,Kemal Sunal
actress,\N,"[""Hafize Ana""]",Hababam Sinifi: Tatilde,Adile Nasit
director,\N,\N,Hababam Sinifi: Tatilde,Ertem Egilmez
writer,writer,\N,Hababam Sinifi: Tatilde,Sadik Sendil
actor,\N,"[""Mahmut Hoca""]",Hababam Sinifi: Uyaniyor,Münir Özkul
actor,\N,"[""Inek Saban""]",Hababam Sinifi: Uyaniyor,Kemal Sunal
actor,\N,"[""Güdük Necmi""]",Hababam Sinifi: Uyaniyor,Halit Akçatepe
director,\N,\N,Hababam Sinifi: Uyaniyor,Ertem Egilmez
writer,writer,\N,Hababam Sinifi: Uyaniyor,Sadik Sendil
actor,\N,"[""Seyyit""]",Kapicilar Krali,Kemal Sunal
actress,\N,"[""Mahir'in Ev Arkadasi""]",Kapicilar Krali,Sevda Ferdag
actor,\N,"[""Zafer Bey""]",Kapicilar Krali,Bilge Zobu
director,\N,\N,Kapicilar Krali,Zeki Ökten
writer,\N,\N,Kapicilar Krali,Umur Bugay
actor,\N,"[""Feyzo""]",Kibar Feyzo,Kemal Sunal
actress,\N,"[""Gülo""]",Kibar Feyzo,Müjde Ar
actress,\N,"[""Sakine""]",Kibar Feyzo,Adile Nasit
director,\N,\N,Kibar Feyzo,Atif Yilmaz
writer,\N,\N,Kibar Feyzo,Ihsan Yüce
actor,\N,"[""Saffet""]",Köyden Indim Sehire,Kemal Sunal
actress,\N,"[""Emine""]",Köyden Indim Sehire,Meral Zeren
actor,\N,"[""Himmet""]",Köyden Indim Sehire,Zeki Alasya
director,\N,\N,Köyden Indim Sehire,Ertem Egilmez
writer,\N,\N,Köyden Indim Sehire,Zeki Alasya
actor,\N,"[""Lyle""]",Manic,Joseph Gordon-Levitt
actor,\N,"[""Chad""]",Manic,Michael Bacall
actress,\N,"[""Tracey""]",Manic,Zooey Deschanel
director,\N,\N,Manic,Jordan Melamed
writer,written by,\N,Manic,Michael Bacall
actor,\N,"[""Wladyslaw Szpilman""]",The Pianist,Adrien Brody
actor,\N,"[""Captain Wilm Hosenfeld""]",The Pianist,Thomas Kretschmann
actor,\N,"[""Father""]",The Pianist,Frank Finlay
director,\N,\N,The Pianist,Roman Polanski
writer,screenplay by,\N,The Pianist,Ronald Harwood
actor,\N,"[""Saban""]",Saban Oglu Saban,Kemal Sunal
actor,\N,"[""Ramazan""]",Saban Oglu Saban,Halit Akçatepe
actor,\N,"[""Hüsamettin""]",Saban Oglu Saban,Sener Sen
director,\N,\N,Saban Oglu Saban,Ertem Egilmez
writer,\N,\N,Saban Oglu Saban,Sadik Sendil
actor,\N,"[""Saban""]",Süt Kardesler,Kemal Sunal
actor,\N,"[""Hüsamettin""]",Süt Kardesler,Sener Sen
actor,\N,"[""Ramazan""]",Süt Kardesler,Halit Akçatepe
director,\N,\N,Süt Kardesler,Ertem Egilmez
writer,\N,\N,Süt Kardesler,Sadik Sendil
actor,\N,"[""Saban""]",Tosun Pasa,Kemal Sunal
actor,\N,"[""Tosun Pasa""]",Tosun Pasa,Kemal Sunal
actress,\N,"[""Leyla""]",Tosun Pasa,Müjde Ar
director,\N,\N,Tosun Pasa,Kartal Tibet
writer,\N,\N,Tosun Pasa,Yavuz Turgul
actor,\N,"[""Ibrahim Zübükzade""]",Zübük,Kemal Sunal
actress,\N,"[""Yektane""]",Zübük,Nevra Serezli
actor,\N,"[""Gazeteci Yasar""]",Zübük,Metin Serezli
director,\N,\N,Zübük,Kartal Tibet
writer,novel,\N,Zübük,Aziz Nesin
actor,\N,"[""Apti""]",Çöpçüler Krali,Kemal Sunal
actor,\N,"[""Sakir""]",Çöpçüler Krali,Sener Sen
actress,\N,"[""Hacer""]",Çöpçüler Krali,Aysen Gruda
director,\N,\N,Çöpçüler Krali,Zeki Ökten
writer,\N,\N,Çöpçüler Krali,Umur Bugay
actress,\N,"[""Sonia Mehra""]",Koi... Mil Gaya,Rekha
actor,\N,"[""Rohit Mehra""]",Koi... Mil Gaya,Hrithik Roshan
actress,\N,"[""Nisha""]",Koi... Mil Gaya,Preity G Zinta
director,\N,\N,Koi... Mil Gaya,Rakesh Roshan
writer,story,\N,Koi... Mil Gaya,Rakesh Roshan
actress,\N,"[""Erika Kohut""]",La pianiste,Isabelle Huppert
actress,\N,"[""The Mother""]",La pianiste,Annie Girardot
actor,\N,"[""Walter Klemmer""]",La pianiste,Benoît Magimel
director,\N,\N,La pianiste,Michael Haneke
writer,\N,\N,La pianiste,Michael Haneke
actress,\N,"[""Julia""]",La comunidad,Carmen Maura
actor,\N,"[""Charly""]",La comunidad,Eduardo Antuña
actress,\N,"[""Encarna""]",La comunidad,María Asquerino
director,director,\N,La comunidad,Álex de la Iglesia
writer,writer,\N,La comunidad,Jorge Guerricaechevarría
actress,\N,"[""Carmen""]",El espinazo del diablo,Marisa Paredes
actor,\N,"[""Jacinto""]",El espinazo del diablo,Eduardo Noriega
actor,\N,"[""Dr. Casares""]",El espinazo del diablo,Federico Luppi
director,\N,\N,El espinazo del diablo,Guillermo del Toro
writer,written by,\N,El espinazo del diablo,Guillermo del Toro
actor,\N,"[""Michael Sullivan""]",Road to Perdition,Tom Hanks
actor,\N,"[""Michael Sullivan Jr.""]",Road to Perdition,Tyler Hoechlin
actor,\N,"[""John Rooney""]",Road to Perdition,Paul Newman
director,\N,\N,Road to Perdition,Sam Mendes
writer,graphic novel,\N,Road to Perdition,Max Allan Collins
actor,\N,"[""Warren Schmidt""]",About Schmidt,Jack Nicholson
actress,\N,"[""Jeannie Schmidt""]",About Schmidt,Hope Davis
actor,\N,"[""Randall Hertzel""]",About Schmidt,Dermot Mulroney
director,\N,\N,About Schmidt,Alexander Payne
writer,"novel ""About Schmidt""",\N,About Schmidt,Louis Begley
actress,\N,"[""Marie""]",The Bourne Identity,Franka Potente
actor,\N,"[""Bourne""]",The Bourne Identity,Matt Damon
actor,\N,"[""Conklin""]",The Bourne Identity,Chris Cooper
director,\N,\N,The Bourne Identity,Doug Liman
writer,screenplay,\N,The Bourne Identity,Tony Gilroy
actor,\N,"[""Stefan""]",Lammbock,Lucas Gregorowicz
actor,\N,"[""Kai""]",Lammbock,Moritz Bleibtreu
actress,\N,"[""Laura""]",Lammbock,Marie Zielcke
director,\N,\N,Lammbock,Christian Zübert
writer,screenplay,\N,Lammbock,Christian Zübert
actor,\N,"[""Leon""]",Lantana,Anthony LaPaglia
actor,\N,"[""John""]",Lantana,Geoffrey Rush
actress,\N,"[""Jane""]",Lantana,Rachael Blake
director,\N,\N,Lantana,Ray Lawrence
writer,screenplay,\N,Lantana,Andrew Bovell
actor,\N,"[""Rama""]",Ramayana: The Legend of Prince Rama,Arun Govil
actor,\N,"[""Rama""]",Ramayana: The Legend of Prince Rama,Nikhil Kapoor
actress,\N,"[""Sita""]",Ramayana: The Legend of Prince Rama,Edie Mirman
director,\N,\N,Ramayana: The Legend of Prince Rama,Ram Mohan
writer,written by,\N,Ramayana: The Legend of Prince Rama,Rani Burra
actress,\N,"[""Maj. Sophie E. Jean""]",Gongdong gyeongbi guyeok JSA,Lee Yeong-ae
actor,\N,"[""Sgt. Lee Soo-hyeok""]",Gongdong gyeongbi guyeok JSA,Lee Byung-hun
actor,\N,"[""Sgt. Oh Kyeong-pil""]",Gongdong gyeongbi guyeok JSA,Song Kang-ho
director,\N,\N,Gongdong gyeongbi guyeok JSA,Park Chan-wook
writer,\N,\N,Gongdong gyeongbi guyeok JSA,Park Chan-wook
actor,\N,"[""Abbas""]",Çiçek Abbas,Ilyas Salman
actor,\N,"[""Sakir Serengil""]",Çiçek Abbas,Sener Sen
actress,\N,"[""Sükriye""]",Çiçek Abbas,Aysen Gruda
director,\N,\N,Çiçek Abbas,Sinan Çetin
writer,\N,\N,Çiçek Abbas,Yavuz Turgul
actor,\N,"[""Altan Camli""]",Her Sey Çok Güzel Olacak,Cem Yilmaz
actor,\N,"[""Nuri Camli""]",Her Sey Çok Güzel Olacak,Mazhar Alanson
actress,\N,"[""Ayla Camli""]",Her Sey Çok Güzel Olacak,Ceyda Düvenci
director,\N,\N,Her Sey Çok Güzel Olacak,Ömer Vargi
writer,\N,\N,Her Sey Çok Güzel Olacak,Hakan Haksun
actress,\N,"[""Asya""]",Selvi Boylum Al Yazmalim,Türkan Soray
actor,\N,"[""Ilyas""]",Selvi Boylum Al Yazmalim,Kadir Inanir
actor,\N,"[""Cemsit""]",Selvi Boylum Al Yazmalim,Ahmet Mekin
director,\N,\N,Selvi Boylum Al Yazmalim,Atif Yilmaz
writer,writer,\N,Selvi Boylum Al Yazmalim,Ali Özgentürk
actor,\N,"[""Frank Abagnale Jr.""]",Catch Me If You Can,Leonardo DiCaprio
actor,\N,"[""Carl Hanratty""]",Catch Me If You Can,Tom Hanks
actor,\N,"[""Frank Abagnale""]",Catch Me If You Can,Christopher Walken
director,\N,\N,Catch Me If You Can,Steven Spielberg
writer,based upon the book by,\N,Catch Me If You Can,Frank Abagnale Jr.
actor,\N,"[""Dad Meiks""]",Frailty,Bill Paxton
actor,\N,"[""Adam Meiks""]",Frailty,Matthew McConaughey
actor,\N,"[""FBI Agent Wesley Doyle""]",Frailty,Powers Boothe
director,\N,\N,Frailty,Bill Paxton
writer,written by,\N,Frailty,Brent Hanley
actor,\N,"[""Sam Monroe""]",Life as a House,Hayden Christensen
actor,\N,"[""George Monroe""]",Life as a House,Kevin Kline
actress,\N,"[""Robin Kimball""]",Life as a House,Kristin Scott Thomas
director,\N,\N,Life as a House,Irwin Winkler
writer,written by,\N,Life as a House,Mark Andrus
actor,\N,"[""Eversmann""]",Black Hawk Down,Josh Hartnett
actor,\N,"[""Grimes""]",Black Hawk Down,Ewan McGregor
actor,\N,"[""McKnight""]",Black Hawk Down,Tom Sizemore
director,\N,\N,Black Hawk Down,Ridley Scott
writer,book,\N,Black Hawk Down,Mark Bowden
actor,\N,"[""Lalit Verma""]",Monsoon Wedding,Naseeruddin Shah
actress,\N,"[""Pimmi Verma""]",Monsoon Wedding,Lillete Dubey
actress,\N,"[""Ria Verma""]",Monsoon Wedding,Shefali Shah
director,\N,\N,Monsoon Wedding,Mira Nair
writer,\N,\N,Monsoon Wedding,Sabrina Dhawan
actor,\N,"[""Royal Tenenbaum""]",The Royal Tenenbaums,Gene Hackman
actress,\N,"[""Margot Tenenbaum""]",The Royal Tenenbaums,Gwyneth Paltrow
actress,\N,"[""Etheline Tenenbaum""]",The Royal Tenenbaums,Anjelica Huston
director,\N,\N,The Royal Tenenbaums,Wes Anderson
writer,written by,\N,The Royal Tenenbaums,Wes Anderson
actor,\N,"[""Shuya Nanahara - Boy #15""]",Batoru rowaiaru,Tatsuya Fujiwara
actress,\N,"[""Noriko Nakagawa - Girl #15""]",Batoru rowaiaru,Aki Maeda
actor,\N,"[""Shôgo Kawada - Boy #5""]",Batoru rowaiaru,Tarô Yamamoto
director,\N,\N,Batoru rowaiaru,Kinji Fukasaku
writer,novel,\N,Batoru rowaiaru,Koushun Takami
actor,\N,"[""Marlin""]",Finding Nemo,Albert Brooks
actress,\N,"[""Dory""]",Finding Nemo,Ellen DeGeneres
actor,\N,"[""Nemo""]",Finding Nemo,Alexander Gould
director,\N,\N,Finding Nemo,Andrew Stanton
writer,original story by,\N,Finding Nemo,Andrew Stanton
actress,\N,"[""The Bride""]",Kill Bill: Vol. 1,Uma Thurman
actor,\N,"[""Bill""]",Kill Bill: Vol. 1,David Carradine
actress,\N,"[""Elle Driver""]",Kill Bill: Vol. 1,Daryl Hannah
director,\N,\N,Kill Bill: Vol. 1,Quentin Tarantino
writer,written by,\N,Kill Bill: Vol. 1,Quentin Tarantino
actor,\N,"[""Nathan Muir""]",Spy Game,Robert Redford
actor,\N,"[""Tom Bishop""]",Spy Game,Brad Pitt
actress,\N,"[""Elizabeth Hadley""]",Spy Game,Catherine McCormack
director,\N,\N,Spy Game,Tony Scott
writer,story,\N,Spy Game,Michael Frost Beckner
actor,\N,"[""Murat""]",Canim Kardesim,Tarik Akan
actor,\N,"[""Halit""]",Canim Kardesim,Halit Akçatepe
actor,\N,"[""Kahraman""]",Canim Kardesim,Kahraman Kiral
director,\N,\N,Canim Kardesim,Ertem Egilmez
writer,\N,\N,Canim Kardesim,Sadik Sendil
actor,\N,"[""Charlie Kaufman""]",Adaptation.,Nicolas Cage
actor,\N,"[""Donald Kaufman""]",Adaptation.,Nicolas Cage
actress,\N,"[""Susan Orlean""]",Adaptation.,Meryl Streep
director,\N,\N,Adaptation.,Spike Jonze
writer,"book ""The Orchid Thief""",\N,Adaptation.,Susan Orlean
actor,\N,"[""Diego""]",Ice Age,Denis Leary
actor,\N,"[""Sid""]",Ice Age,John Leguizamo
actor,\N,"[""Manfred""]",Ice Age,Ray Romano
director,\N,\N,Ice Age,Chris Wedge
writer,story by,\N,Ice Age,Michael J. Wilson
actor,\N,"[""John Nash""]",A Beautiful Mind,Russell Crowe
actor,\N,"[""Parcher""]",A Beautiful Mind,Ed Harris
actress,\N,"[""Alicia Nash""]",A Beautiful Mind,Jennifer Connelly
director,\N,\N,A Beautiful Mind,Ron Howard
writer,written by,\N,A Beautiful Mind,Akiva Goldsman
actor,\N,"[""Deli Emin""]",Vizontele,Yilmaz Erdogan
actress,\N,"[""Siti Ana""]",Vizontele,Demet Akbag
actor,\N,"[""Nazmi""]",Vizontele,Altan Erkekli
director,\N,\N,Vizontele,Yilmaz Erdogan
writer,\N,\N,Vizontele,Yilmaz Erdogan
actor,\N,"[""João Grilo""]",O Auto da Compadecida,Matheus Nachtergaele
actor,\N,"[""Chicó""]",O Auto da Compadecida,Selton Mello
actor,\N,"[""Padre João""]",O Auto da Compadecida,Rogério Cardoso
director,\N,\N,O Auto da Compadecida,Guel Arraes
writer,\N,\N,O Auto da Compadecida,Guel Arraes
actor,\N,"[""Prot""]",K-PAX,Kevin Spacey
actor,\N,"[""Dr. Mark Powell""]",K-PAX,Jeff Bridges
actress,\N,"[""Rachel Powell""]",K-PAX,Mary McCormack
director,\N,\N,K-PAX,Iain Softley
writer,novel,\N,K-PAX,Gene Brewer
actor,\N,"[""Henry Oak""]",Narc,Ray Liotta
actor,\N,"[""Nick Tellis""]",Narc,Jason Patric
actor,\N,"[""Captain Cheevers""]",Narc,Chi McBride
director,\N,\N,Narc,Joe Carnahan
writer,written by,\N,Narc,Joe Carnahan
actor,\N,"[""Barry Egan""]",Punch-Drunk Love,Adam Sandler
actress,\N,"[""Lena Leonard""]",Punch-Drunk Love,Emily Watson
actor,\N,"[""Dean Trumbell""]",Punch-Drunk Love,Philip Seymour Hoffman
director,\N,\N,Punch-Drunk Love,Paul Thomas Anderson
writer,written by,\N,Punch-Drunk Love,Paul Thomas Anderson
actor,\N,"[""Paul""]",Sur mes lèvres,Vincent Cassel
actress,\N,"[""Carla""]",Sur mes lèvres,Emmanuelle Devos
actor,\N,"[""Marchand""]",Sur mes lèvres,Olivier Gourmet
director,\N,\N,Sur mes lèvres,Jacques Audiard
writer,\N,\N,Sur mes lèvres,Jacques Audiard
actor,\N,"[""Tony Wilson""]",24 Hour Party People,Steve Coogan
actor,\N,"[""Alan Erasmus""]",24 Hour Party People,Lennie James
actor,\N,"[""Charles""]",24 Hour Party People,John Thomson
director,\N,\N,24 Hour Party People,Michael Winterbottom
writer,screenplay by,\N,24 Hour Party People,Frank Cottrell Boyce
actress,\N,"[""Antonia""]",Le fate ignoranti,Margherita Buy
actor,\N,"[""Michele""]",Le fate ignoranti,Stefano Accorsi
actress,\N,"[""Serra""]",Le fate ignoranti,Serra Yilmaz
director,\N,\N,Le fate ignoranti,Ferzan Özpetek
writer,screenplay,\N,Le fate ignoranti,Gianni Romoli
actress,\N,"[""Clarissa Vaughan""]",The Hours,Meryl Streep
actress,\N,"[""Virginia Woolf""]",The Hours,Nicole Kidman
actress,\N,"[""Laura Brown""]",The Hours,Julianne Moore
director,\N,\N,The Hours,Stephen Daldry
writer,novel,\N,The Hours,Michael Cunningham
actor,\N,"[""Yeo-sol""]",Musa,Jung Woo-sung
actor,\N,"[""Jin-lib""]",Musa,Ahn Sung-ki
actor,\N,"[""Choi Jung""]",Musa,Ju Jin-mo
director,director,\N,Musa,Sung Soo Kim
writer,writer,\N,Musa,Sung Soo Kim
actor,\N,"[""Jet Black""]",Cowboy Bebop: Tengoku no tobira,Beau Billingslea
actor,\N,"[""Jet Black""]",Cowboy Bebop: Tengoku no tobira,Beau Billingslea
actress,\N,"[""Edward Wong""]",Cowboy Bebop: Tengoku no tobira,Melissa Fahn
director,\N,\N,Cowboy Bebop: Tengoku no tobira,Shin'ichirô Watanabe
writer,original story,\N,Cowboy Bebop: Tengoku no tobira,Shin'ichirô Watanabe
actor,\N,"[""Narrator""]",Dogtown and Z-Boys,Sean Penn
director,\N,\N,Dogtown and Z-Boys,Stacy Peralta
writer,written by,\N,Dogtown and Z-Boys,Stacy Peralta
actor,\N,"[""Ángel""]",La mala educación,Gael García Bernal
actor,\N,"[""Juan""]",La mala educación,Gael García Bernal
actor,\N,"[""Zahara""]",La mala educación,Gael García Bernal
director,\N,\N,La mala educación,Pedro Almodóvar
writer,script,\N,La mala educación,Pedro Almodóvar
actor,\N,"[""Vin""]",Tape,Ethan Hawke
actor,\N,"[""Jon""]",Tape,Robert Sean Leonard
actress,\N,"[""Amy""]",Tape,Uma Thurman
director,\N,\N,Tape,Richard Linklater
writer,screenplay,\N,Tape,Stephen Belber
actress,\N,"[""Lilo""]",Lilo & Stitch,Daveigh Chase
actor,\N,"[""Stitch""]",Lilo & Stitch,Chris Sanders
actress,\N,"[""Nani""]",Lilo & Stitch,Tia Carrere
director,\N,\N,Lilo & Stitch,Dean DeBlois
writer,based on an idea by,\N,Lilo & Stitch,Chris Sanders
actor,\N,"[""Will Freeman""]",About a Boy,Hugh Grant
actor,\N,"[""Marcus Brewer""]",About a Boy,Nicholas Hoult
actress,\N,"[""Fiona Brewer""]",About a Boy,Toni Collette
director,\N,\N,About a Boy,Chris Weitz
writer,novel,\N,About a Boy,Nick Hornby
actress,\N,"[""Grace Margaret Mulligan""]",Dogville,Nicole Kidman
actor,\N,"[""Tom Edison""]",Dogville,Paul Bettany
actress,\N,"[""Ma Ginger""]",Dogville,Lauren Bacall
director,\N,\N,Dogville,Lars von Trier
writer,written by,\N,Dogville,Lars von Trier
actor,\N,"[""Sam Dawson""]",I Am Sam,Sean Penn
actress,\N,"[""Rita""]",I Am Sam,Michelle Pfeiffer
actress,\N,"[""Lucy""]",I Am Sam,Dakota Fanning
director,\N,\N,I Am Sam,Jessie Nelson
writer,written by,\N,I Am Sam,Kristine Johnson
actor,\N,"[""Lt. Col. Hal Moore""]",We Were Soldiers,Mel Gibson
actress,\N,"[""Julie Moore""]",We Were Soldiers,Madeleine Stowe
actor,\N,"[""Maj. Bruce Crandall""]",We Were Soldiers,Greg Kinnear
director,director,\N,We Were Soldiers,Randall Wallace
writer,"book ""We Were Soldiers Once... and Young""",\N,We Were Soldiers,Harold G. Moore
actor,\N,"[""Will Dormer""]",Insomnia,Al Pacino
actor,\N,"[""Walter Finch""]",Insomnia,Robin Williams
actress,\N,"[""Ellie Burr""]",Insomnia,Hilary Swank
director,\N,\N,Insomnia,Christopher Nolan
writer,screenplay,\N,Insomnia,Hillary Seitz
director,\N,\N,Stanley Kubrick: A Life in Pictures,Jan Harlan
actor,\N,"[""Elling""]",Elling,Per Christian Ellefsen
actor,\N,"[""Kjell Bjarne""]",Elling,Sven Nordin
actress,\N,"[""Reidun Nordsletten""]",Elling,Marit Pia Jacobsen
director,\N,\N,Elling,Petter Næss
writer,"novel ""Brødre i blodet""",\N,Elling,Ingvar Ambjørnsen
actor,\N,"[""Ivan Cooper""]",Bloody Sunday,James Nesbitt
actor,\N,"[""Maj. Gen. Ford""]",Bloody Sunday,Tim Pigott-Smith
actor,\N,"[""Brig. Maclellan""]",Bloody Sunday,Nicholas Farrell
director,\N,\N,Bloody Sunday,Paul Greengrass
writer,written by,\N,Bloody Sunday,Paul Greengrass
actor,\N,"[""Kurt Gerstein""]",Amen.,Ulrich Tukur
actor,\N,"[""Riccardo Fontana""]",Amen.,Mathieu Kassovitz
actor,\N,"[""Doctor""]",Amen.,Ulrich Mühe
director,\N,\N,Amen.,Costa-Gavras
writer,\N,\N,Amen.,Costa-Gavras
actress,\N,"[""Constance Trentham""]",Gosford Park,Maggie Smith
actor,\N,"[""Henry Denton""]",Gosford Park,Ryan Phillippe
actor,\N,"[""William McCordle""]",Gosford Park,Michael Gambon
director,\N,\N,Gosford Park,Robert Altman
writer,written by,\N,Gosford Park,Julian Fellowes
actress,\N,"[""Jamie Sullivan""]",A Walk to Remember,Mandy Moore
actor,\N,"[""Landon Carter""]",A Walk to Remember,Shane West
actor,\N,"[""Reverend Sullivan""]",A Walk to Remember,Peter Coyote
director,director,\N,A Walk to Remember,Adam Shankman
writer,novel,\N,A Walk to Remember,Nicholas Sparks
actress,\N,"[""Ingrid Magnussen""]",White Oleander,Michelle Pfeiffer
actress,\N,"[""Claire Richards""]",White Oleander,Renée Zellweger
actress,\N,"[""Starr""]",White Oleander,Robin Wright
director,\N,\N,White Oleander,Peter Kosminsky
writer,novel,\N,White Oleander,Janet Fitch
actor,\N,"[""Ciki""]",No Man's Land,Branko Djuric
actor,\N,"[""Nino""]",No Man's Land,Rene Bitorajac
actor,\N,"[""Cera""]",No Man's Land,Filip Sovagovic
director,\N,\N,No Man's Land,Danis Tanovic
writer,written by,\N,No Man's Land,Danis Tanovic
actor,\N,"[""Xavier""]",L'auberge espagnole,Romain Duris
actress,\N,"[""Anne-Sophie""]",L'auberge espagnole,Judith Godrèche
actress,\N,"[""Wendy""]",L'auberge espagnole,Kelly Reilly
director,\N,\N,L'auberge espagnole,Cédric Klapisch
writer,\N,\N,L'auberge espagnole,Cédric Klapisch
actor,\N,"[""Tara Singh""]",Gadar: Ek Prem Katha,Sunny Deol
actress,\N,"[""Sakeena""]",Gadar: Ek Prem Katha,Ameesha Patel
actor,\N,"[""Ashraf Ali""]",Gadar: Ek Prem Katha,Amrish Puri
director,\N,\N,Gadar: Ek Prem Katha,Anil Sharma
writer,written by,\N,Gadar: Ek Prem Katha,Shaktimaan Talwar
actor,\N,"[""Mighty Steel Leg Sing""]",Siu Lam juk kau,Stephen Chow
actress,\N,"[""Mui""]",Siu Lam juk kau,Wei Zhao
actor,\N,"[""Iron Head (First Brother)""]",Siu Lam juk kau,Yat-Fei Wong
director,\N,\N,Siu Lam juk kau,Stephen Chow
writer,\N,\N,Siu Lam juk kau,Stephen Chow
actress,\N,"[""Triplet #3""]",Les triplettes de Belleville,Michèle Caucheteux
