originalTitle,actor,actress,archive_footage,archive_sound,casting_director,cinematographer,composer,director,editor,producer,production_designer,self,writer,isAdult,startYear,runtimeMinutes,genres
Le fond de l'air est rouge,Jorge Semprún Davos Hanich François Maspero François Périer Yves Montand,Simone Signoret Sandra Scarnati Laurence Cuvillier,Beatriz Allende Salvador Allende,,,,,Chris Marker,Chris Marker Valérie Mayoux Anne-Claire Mittelberger Patrick Sauvion,,,Beatriz Allende Salvador Allende,,0,1977,240,Documentary
Le gamin au vélo,Thomas Doret Jérémie Renier Fabrizio Rongione Egon Di Mateo Olivier Gourmet Baptiste Sornin Samuel De Ryck Carl Jadot Claudy Delfosse,Cécile de France,,,,Alain Marcoen,,Jean-Pierre Dardenne Luc Dardenne,Marie-Hélène Dozo,Jean-Pierre Dardenne Luc Dardenne Denis Freyd,Igor Gabriel,,Jean-Pierre Dardenne Luc Dardenne,0,2011,87,Drama
Le gendarme de Saint-Tropez,Louis de Funès Michel Galabru Christian Marin Jean Lefebvre Guy Grosso Michel Modo Patrice Laffont,Geneviève Grad Nicole Vervil Michelle Wargnier,,,,Marc Fossard,Raymond Lefebvre,Jean Girault,Jean-Michel Gautier,Gérard Beytout René Pignières,,,Richard Balducci Jacques Vilfrid Jean Girault,0,1964,90,Comedy Crime
Le genou de Claire,Jean-Claude Brialy Gérard Falconetti Fabrice Luchini,Aurora Cornu Béatrice Romand Laurence de Monaghan Michèle Montel Sandra Franchina,,,,Néstor Almendros,,Éric Rohmer,Cécile Decugis,Pierre Cottrell Barbet Schroeder,,,Éric Rohmer,0,1970,105,Drama Romance
Le goût des autres,Jean-Pierre Bacri Alain Chabat Gérard Lanvin Wladimir Yordanoff Raphaël Defour,Anne Alvaro Agnès Jaoui Christiane Millet Anne Le Ny Brigitte Catillon,,,Brigitte Moidon,Laurent Dailland,Jean-Charles Jarrel,Agnès Jaoui,Hervé de Luze,Christian Bérard Charles Gassot,François Emmanuelli,,Jean-Pierre Bacri Agnès Jaoui,0,2000,112,Comedy Drama Romance
Le grand amour,Pierre Étaix Alain Janey Louis Maïss Billy Bourbon Claude Massot,Annie Fratellini Nicole Calfan Ketty France Jacqueline Rouillard Renée Gardès,,,,Jean Boffety,Claude Stieremans,Pierre Étaix,Henri Lanoë,Paul Claudon,Daniel Louradour,,Pierre Étaix Jean-Claude Carrière,0,1969,87,Comedy Romance
Le grand bleu,Jean-Marc Barr Jean Reno Paul Shenar Sergio Castellitto Jean Bouise Marc Duret Griffin Dunne Andréas Voutsinas,Rosanna Arquette Valentina Vargas,,,Nathalie Cheron Lissa Pillu,Carlo Varini,Éric Serra,Luc Besson,Olivier Mauffroy,Patrice Ledoux,Dan Weil,,Luc Besson Robert Garland Marilyn Goldin Jacques Mayol,0,1988,168,Adventure Drama Sport
Le grand blond avec une chaussure noire,Pierre Richard Bernard Blier Jean Rochefort Jean Obé Robert Castel Jean Saudray Roger Caccia Maurice Barrier,Mireille Darc Colette Castel,,,,René Mathelin,Vladimir Cosma,Yves Robert,Ghislaine Desjonquères,Alain Poiré Yves Robert,Théobald Meurisse,,Yves Robert Francis Veber,0,1972,90,Comedy Mystery
Le grand chemin,Richard Bohringer Antoine Hubert Raoul Billerey Daniel Rialet Jean-François Dérec,Anémone Vanessa Guedj Christine Pascal Pascale Roberts Marie Matheron,,,Marie-Christine Lafosse,Claude Lecomte,Georges Granier,Jean-Loup Hubert,Raymonde Guyot,Farid Chaouche Jean-François Lepetit,Thierry Flamand,,Jean-Loup Hubert,0,1987,104,Comedy Drama
Le grand méchant renard et autres contes...,Guillaume Darnault Damien Witecka Kamel Abdessadok Antoine Schoumsky Jules Bienvenu Augustin Jahn-Sani Boris Rehlinger Boris Rehlinger Guillaume Bouchède,Céline Ronté Violette Samama,,,Michelle Jones Céline Ronté,,Robert Marcel Lepage,Patrick Imbert Benjamin Renner,Benjamin Massoubre,Damien Brunner Didier Brunner Vincent Tavier,,,Benjamin Renner Jean Regnaud,0,2017,83,Adventure Animation Comedy
Le grand voyage,Nicolas Cazalé Mohamed Majd Jacky Nercessian Kamel Belghazi Atik Mohamed François Baroni Krassi Kpacu Kirill Kavadarkov,Ghina Ognianova Malika Mesrar El Hadaoui,,,Leila Fournier Sarah Teper,Katell Djian,Fowzi Guerdjou,Ismaël Ferroukhi,Tina Baz,Humbert Balsan,,,Ismaël Ferroukhi,0,2004,108,Drama Romance
Le huitième jour,Daniel Auteuil Pascal Duquenne Henri Garcin,Miou-Miou Isabelle Sadoyan Michele Maes Fabienne Loriaux Alice van Dormael Juliette Van Dormael Marie-Pierre Meinzel,,,,Walther van den Ende,Pierre van Dormael,Jaco Van Dormael,Susana Rossberg,Philippe Godeau,Hubert Pouille,,Jaco Van Dormael,0,1996,118,Comedy Drama
Le jouet,Pierre Richard Michel Bouquet Fabrice Greco Jacques François Daniel Ceccaldi Charles Gérard Michel Aumont Gérard Jugnot Michel Robin,Suzy Dyson,,,Robert Laloux,Étienne Becker,Vladimir Cosma,Francis Veber,Gérard Pollicand,,Bernard Evein,,Francis Veber,0,1976,95,Comedy Drama
Le jour des corneilles,Jean Reno Lorànt Deutsch Claude Chabrol Bruno Podalydès Bruno Podalydès Patrick Ligardes Patrick Ligardes Philippe Uchan Jean-Christophe Laurier,Isabelle Carré Chantal Neuwirth Élodie Huber,,,,,Simon Leclerc,Jean-Christophe Dessaint,Opportune Taffin,William Picot,,,Jean-François Beauchemin Amandine Taffin,0,2012,96,Animation Drama Fantasy
Le jour se lève,Jean Gabin Jules Berry René Génin Arthur Devère René Bergeron Bernard Blier Marcel Pérès,Jacqueline Laurent Arletty Mady Berry,,,,Philippe Agostini André Bac Albert Viguier,Maurice Jaubert,Marcel Carné,René Le Hénaff,Jean-Pierre Frogerais,,,Jacques Viot Jacques Prévert,0,1939,93,Crime Drama Romance
Le journal d'une femme de chambre,Georges Géret Michel Piccoli Daniel Ivernel Jean Ozenne,Jeanne Moreau Françoise Lugagne Muni Joëlle Bernard Françoise Bertin Aline Bertrand,,,,Roger Fellous,,Luis Buñuel,Louisette Hautecoeur,Michel Safra Serge Silberman,Georges Wakhévitch,,Octave Mirbeau Luis Buñuel Jean-Claude Carrière,0,1964,97,Crime Drama
Le juge et l'assassin,Philippe Noiret Michel Galabru Jean-Claude Brialy Jean-Roger Caussimon Jean Bretonnière François Dyrek,Isabelle Huppert Renée Faure Cécile Vassort Monique Chaumette,,,,Pierre-William Glenn,Philippe Sarde,Bertrand Tavernier,Armand Psenny,Raymond Danon,Antoine Roman,,Jean Aurenche Bertrand Tavernier Pierre Bost,0,1976,128,Crime Drama History
Le locataire,Roman Polanski Melvyn Douglas Bernard Fresson Claude Dauphin Claude Piéplu Rufus Romain Bouteille,Isabelle Adjani Jo Van Fleet Lila Kedrova,,,Catherine Vernoux,Sven Nykvist,Philippe Sarde,Roman Polanski,Françoise Bonnot,Andrew Braunsberg,Pierre Guffroy,,Roland Topor Gérard Brach Roman Polanski,0,1976,126,Drama Thriller
Le magnifique,Jean-Paul Belmondo Jean-Paul Belmondo Vittorio Caprioli Vittorio Caprioli Hans Meyer Mario David Bruno Garcin Raymond Gérôme Jean Lefebvre Fabrizio Moresco,Jacqueline Bisset Jacqueline Bisset Monique Tarbès,,,,René Mathelin,Claude Bolling,Philippe de Broca,Henri Lanoë,Jean-Paul Belmondo Georges Dancigers Alexandre Mnouchkine,,,Philippe de Broca Vittorio Caprioli Jean-Paul Rappeneau,0,1973,95,Action Comedy Fantasy
Le mani sulla città,Rod Steiger Salvo Randone Guido Alberti Marcello Cannavale Dante Di Pinto Alberto Conocchia Carlo Fermariello Terenzio Cordova Gaetano Grimaldi Filioli Angelo D'Alessandro,,,,,Gianni Di Venanzo,Piero Piccioni,Francesco Rosi,Mario Serandrei,Lionello Santi,Sergio Canevari,,Francesco Rosi Raffaele La Capria Enzo Provenzale Enzo Forcella,0,1963,101,Drama
Le mari de la coiffeuse,Jean Rochefort Roland Bertin Maurice Chevit Philippe Clévenot Jacques Mathou Claude Aufaure Albert Delpy Henry Hocking Ticky Holgado,Anna Galiena,,,Étienne Dhaene Marie-Christine Lafosse Natalie Luquiens,Eduardo Serra,Michael Nyman,Patrice Leconte,Joëlle Hache,Thierry de Ganay,Ivan Maussion,,Patrick Cauvin Patrice Leconte,0,1990,82,Comedy Drama Romance
Le maître de musique,José van Dam Philippe Volter Patrick Bauchau Johan Leysen Marc Schreiber Alain Carre David Ashman Bob Bender,Anne Roussel Sylvie Fennec,,,Françoise Menidrey,Walther van den Ende,,Gérard Corbiau,Denise Vindevogel,,Zouc Lanc,,Luc Jabon Gérard Corbiau Andrée Corbiau Patrick Iratni,0,1988,95,Drama Music
Le million,René Lefèvre Jean-Louis Allibert Paul Ollivier Constantin Siroesco Raymond Cordy Pedro Elviro,Annabella Vanda Gréville Odette Talazac Jane Pierson,,,,Georges Périnal,Armand Bernard Philippe Parès Georges Van Parys,René Clair,,,,,Georges Berr Marcel Guillemaud René Clair,0,1931,91,Comedy Musical
Le mystère Picasso,,,,,,Claude Renoir,Georges Auric,Henri-Georges Clouzot,Henri Colpi,Henri-Georges Clouzot,,Pablo Picasso Henri-Georges Clouzot Claude Renoir,,0,1956,78,Biography Documentary History
Le mépris,Jack Palance Michel Piccoli Fritz Lang Raoul Coutard Jean-Luc Godard,Brigitte Bardot Giorgia Moll Linda Veras,,,,Raoul Coutard,Georges Delerue Piero Piccioni,Jean-Luc Godard,Agnès Guillemot,Georges de Beauregard Carlo Ponti,,,Alberto Moravia,0,1963,102,Drama Romance
Le nom des gens,Jacques Gamblin Zinedine Soualem Jacques Boudet Zakariya Gouram Adrien Stoclet Camille Gigot,Sara Forestier Carole Franck Michèle Moretti Julia Vaidis-Bogard,,,Aurélie Guichard,Vincent Mathias,Jérôme Bensoussan David Euverte,Michel Leclerc,Nathalie Hubert,Caroline Adrian Fabrice Goldstein Antoine Rein,Jean-Marc Tran Tan Ba,,Baya Kasmi Michel Leclerc,0,2010,100,Comedy Drama Romance
Le notti bianche,Marcello Mastroianni Jean Marais Lanfranco Ceccarelli Angelo Galassi Renato Terra Corrado Pani,Maria Schell Marcella Rovena Maria Zanoli Elena Fancera,,,,Giuseppe Rotunno,Nino Rota,Luchino Visconti,Mario Serandrei,Franco Cristaldi,Mario Chiari,,Fyodor Dostoevsky Suso Cecchi D'Amico Luchino Visconti,0,1957,97,Drama Romance
Le notti di Cabiria,François Périer Aldo Silvani Ennio Girolami Mario Passante Christian Tassou Amedeo Nazzari Gianni Baghino,Giulietta Masina Franca Marzi Dorian Gray,,,,Aldo Tonti,Nino Rota,Federico Fellini,Leo Catozzo,Dino De Laurentiis,Piero Gherardi,,Federico Fellini Ennio Flaiano Tullio Pinelli Pier Paolo Pasolini,0,1957,110,Drama
Le otto montagne,Lupo Barbiero Cristiano Sassella Filippo Timi Gualtiero Burzi Adriano Favre Andrea Palma Francesco Palombelli,Elena Lietti Chiara Jorrioz Fiammetta Olivieri,,,Francesco Vedovati,Ruben Impens,Daniel Norgren,Felix van Groeningen Charlotte Vandermeersch,Nico Leunen,Hans Everaert Lorenzo Gangarossa Mario Gianani Vindhya Sagar,Massimiliano Nocente,,Paolo Cognetti Charlotte Vandermeersch Felix van Groeningen,0,2022,147,Drama
Le papillon,Michel Serrault Jacques Bouanich Jerry Lucas Gérald Maillet,Claire Bouanich Nade Dieu Aurélie Meriel Françoise Dubois Françoise Michaud Hélène Hily,,,,Nicolas Herdt,Nicolas Errèra,Philippe Muyl,Mireille Leroy,Patrick Godeau,Nikos Meletopoulos,,Philippe Muyl,0,2002,85,Adventure Comedy Drama
Le passé,Tahar Rahim Ali Mosaffa Elyes Aguis Babak Karimi,Bérénice Bejo Pauline Burlet Jeanne Jestin Sabrina Ouazani Valeria Cavalli Aleksandra Klebanska,,,Mohamed Belhamar Laura Muccino,Mahmoud Kalari,Evgueni Galperine Youli Galperine,Asghar Farhadi,Juliette Welfling,Alexandre Mallet-Guy,Claude Lenoir,,Asghar Farhadi,0,2013,130,Drama Mystery
Le petit Nicolas: Qu'est-ce qu'on attend pour être heureux?,Alain Chabat Alain Chabat Laurent Lafitte Simon Faliu Marc Arnaud Marc Arnaud Alban Aumard Octave Bossuet,Elisa Bardeau Delphine Baril Delphine Baril Lucie Bolze Maud Collomb,,,,,Ludovic Bource,Amandine Fredon Benjamin Massoubre,Benjamin Massoubre,Christel Henon Adrian Politowski Aton Soumache,Fursy Teyssier,,Anne Goscinny Michel Fessler Benjamin Massoubre René Goscinny,0,2022,85,Animation Comedy Family
Le petit prince,Jeff Bridges Riley Osborne James Franco Bud Cort Benicio Del Toro Ricky Gervais Albert Brooks,Mackenzie Foy Rachel McAdams Marion Cotillard,,,Sarah Finn,,Richard Harvey Hans Zimmer,Mark Osborne,Carole Kravetz Aykanian Matt Landon,Dimitri Rassam Aton Soumache Alexis Vonarb,Celine Desrumaux Lou Romano,,Irena Brignull Bob Persichetti Antoine de Saint-Exupéry,0,2015,108,Adventure Animation Comedy
Le petit soldat,Michel Subor Henri-Jacques Huet Paul Beauvais László Szabó Georges de Beauregard Gilbert Edard Jean-Luc Godard,Anna Karina,,,,Raoul Coutard,Maurice Leroux,Jean-Luc Godard,Agnès Guillemot Lila Herman Nadine Trintignant,Georges de Beauregard,,,Jean-Luc Godard,0,1963,88,Drama War
Le peuple migrateur,Jacques Perrin Philippe Labro,,,,,Olli Barbé Michel Benjamin Sylvie Carcedo Laurent Charbonnier,Bruno Coulais,Jacques Perrin,Marie-Josèphe Yoyotte,Jacques Perrin,Régis Nicolino,,Jacques Perrin Stéphane Durand Jean Dorst Guy Jarry,0,2001,89,Documentary
Le plaisir,Jean Gabin Claude Dauphin Pierre Brasseur Jean Servais Jean Servais,Danielle Darrieux Simone Simon Gaby Morlay Madeleine Renaud Ginette Leclerc Mila Parély,,,,Philippe Agostini Christian Matras,Joe Hajos,Max Ophüls,Léonide Azar,Édouard Harispuru,Jean d'Eaubonne,,Guy de Maupassant Jacques Natanson Max Ophüls,0,1952,97,Comedy Drama Romance
Le premier jour du reste de ta vie,Jacques Gamblin Marc-André Grondin Pio Marmaï Roger Dumas Stanley Weber,Zabou Breitman Déborah François Cécile Cassel Sarah Cohen-Hadria Camille De Pazzis,,,,Antoine Monod,Sinclair,Rémi Bezançon,Sophie Reine,Eric Altmayer Nicolas Altmayer,Maamar Ech-Cheikh Pascale Tillou,,Rémi Bezançon,0,2008,114,Drama
Le procès,Anthony Perkins Arnoldo Foà Jess Hahn Billy Kearns Maurice Teynac Raoul Delfosse,Madeleine Robinson Jeanne Moreau Naydra Shore Suzanne Flon,,,,Edmond Richard,Jean Ledrut,Orson Welles,Yvonne Martin Frederick Muller,Alexander Salkind,,,Pierre Cholot Franz Kafka Orson Welles,0,1962,119,Drama Mystery Thriller
Le professionnel,Jean-Paul Belmondo Jean Desailly Jean-Louis Richard Michel Beaune Bernard-Pierre Donnadieu Pierre Saintons Gérard Darrieu,Cyrielle Clair Marie-Christine Descouard Elisabeth Margoni,,,,Henri Decaë,Ennio Morricone,Georges Lautner,Michelle David,Alain Belmondo Jean-Paul Belmondo,Eric Moulard,,Patrick Alexander Georges Lautner Jacques Audiard Michel Audiard,0,1981,108,Action Crime Drama
Le prénom,Patrick Bruel Charles Berling Guillaume de Tonquédec Yaniss Lespert Alexis Leprisé,Valérie Benguigui Judith El Zein Françoise Fabian Miren Pradier Juliette Levant,,,,David Ungaro,Jérôme Rebotier,Alexandre de La Patellière Matthieu Delaporte,Célia Lafitedupont,Dimitri Rassam Jérôme Seydoux,Marie Cheminal,,Matthieu Delaporte Alexandre de La Patellière,0,2012,109,Comedy Drama
Le président,Jean Gabin Bernard Blier Henri Crémieux Alfred Adam Louis Seigner Georges Adet Albert Michel Aram Stephan Louis Arbessier,Renée Faure,,,,Louis Page,Maurice Jarre,Henri Verneuil,Jacques Desagneaux,Jacques Bar Raymond Froment Ernest Rupp,Jacques Colombier,,Georges Simenon Michel Audiard Henri Verneuil,0,1961,110,Drama Thriller
Le père Noël est une ordure,Christian Clavier Gérard Jugnot Thierry Lhermitte Bruno Moynot Martin Lamotte Jacques François Michel Blanc,Anémone Josiane Balasko Marie-Anne Chazel,,,,Robert Alazraki,Vladimir Cosma,Jean-Marie Poiré,Catherine Kelber,Yves Rousset-Rouard,Marc Frédérix Willy Holt,,Josiane Balasko Marie-Anne Chazel Christian Clavier Gérard Jugnot,0,1982,88,Comedy
Le péril jeune,Romain Duris Vincent Elbaz Nicolas Koretzky Julien Lambroschini Joachim Lombard,Julie-Anne Roth Hélène de Fougerolles Élodie Bouchez Lisa Faulkner Caroline Damiens,,,,Dominique Colin,,Cédric Klapisch,Francine Sandberg,Aïssa Djabri Farid Lahouassa,François Emmanuelli,,Cédric Klapisch Santiago Amigorena Alexis Galmot Daniel Thieux,0,1994,101,Comedy Drama Romance
Le quai des brumes,Jean Gabin Michel Simon Pierre Brasseur Édouard Delmont Raymond Aimos Robert Le Vigan René Génin Marcel Pérès,Michèle Morgan Jenny Burnay,,,,Eugen Schüfftan,Maurice Jaubert,Marcel Carné,René Le Hénaff,,Alexandre Trauner,,Pierre Mac Orlan Jacques Prévert,0,1938,91,Crime Drama Romance
Le quattro giornate di Napoli,Raffaele Barbato Charles Belmont Enzo Cannavale Luigi De Filippo Pasquale Fasciano,Regina Bianchi Silvana Buzzanca Antonella Della Porta Adriana Facchetti Anna Maria Ferrero,,,,Marcello Gatti,Carlo Rustichelli,Nanni Loy,Ruggero Mastroianni,Goffredo Lombardo,Gianni Polidori,,Pasquale Festa Campanile Massimo Franciosa Nanni Loy Vasco Pratolini,0,1962,120,Drama War
Le quattro volte,Giuseppe Fuda Bruno Timpano Nazareno Timpano Artemio Vallone Domenico Cavallo Santo Cavallo Peppe Cavallo Isidoro Chiera Iolanda Manno Cesare Ritorito,,,,,Andrea Locatelli,Paolo Benvenuti,Michelangelo Frammartino,Benni Atria Maurizio Grillo,Philippe Bober Marta Donzelli Elda Guidinetti Gabriella Manfrè,Matthew Broussard,,Michelangelo Frammartino,0,2010,88,Drama
Le rayon vert,Vincent Gauthier Basile Gervaise René Hernandez Claude Jullien,Marie Rivière María Luisa García Amira Chemakhi Sylvie Richez Virginie Gervaise Dominique Rivière,,,,Sophie Maintigneux,Jean-Louis Valéro,Éric Rohmer,María Luisa García,Margaret Ménégoz,,,Marie Rivière Éric Rohmer,0,1986,99,Drama Romance
Le retour de Don Camillo,Fernandel Gino Cervi Arturo Bragaglia Édouard Delmont Alexandre Rignault Saro Urzì Thomy Bourdelle Manuel Gary Claudy Chapeland Giovanni Onorato,,,,,Anchise Brizzi,Alessandro Cicognini,Julien Duvivier,Marthe Poncin,,Virgilio Marchi,,Giovanni Guareschi Julien Duvivier René Barjavel,0,1953,115,Comedy
Le retour de Martin Guerre,Gérard Depardieu Maurice Barrier Bernard-Pierre Donnadieu Maurice Jacquemont Roger Planchon Francis Arnaud,Nathalie Baye Isabelle Sadoyan Rose Thiéry Chantal Deruaz,,,,André Neau,Michel Portal,Daniel Vigne,Denise de Casabianca,Daniel Vigne,,,Jean-Claude Carrière Janet Lewis Daniel Vigne Natalie Zemon Davis,0,1982,112,Biography Crime Drama
Le roi de coeur,Alan Bates Pierre Brasseur Jean-Claude Brialy Adolfo Celi Julien Guiomar Michel Serrault Palau,Geneviève Bujold Françoise Christophe Micheline Presle,,,,Pierre Lhomme,Georges Delerue,Philippe de Broca,Anne Baronnet Françoise Javet Kenout Peltier,Philippe de Broca Michelle de Broca,François de Lamothe,,Daniel Boulanger Maurice Bessy,0,1966,102,Comedy Drama War
Le roi et l'oiseau,Jean Martin Pascal Mazzotti Raymond Bussières Renaud Marx Hubert Deschamps Roger Blin Philippe Derrez Philippe Derrez Albert Médina Albert Médina Claude Piéplu,Agnès Viala,,,,Gérard Soirant,Wojciech Kilar,Paul Grimault,Paul Grimault,Robert Dorfmann,Lionel Charpy Roger Duclent Paul Grimault,,Hans Christian Andersen Jacques Prévert Paul Grimault,0,1980,83,Animation Family Fantasy
Le roman d'un tricheur,,Marguerite Moreno Marguerite Moreno Jacqueline Delubac Jacqueline Delubac,,,,Marcel Lucien,Adolphe Borchard,Sacha Guitry,Myriam Borsoutsky,Serge Sandberg,,Sacha Guitry Sacha Guitry Sacha Guitry Adolphe Borchard Marcel Lucien Raymond Clunie Paul Duvergé Guerbe Henri Ménessier Mailleray,Sacha Guitry,0,1936,81,Comedy
Le roman de Renard,Claude Dauphin Romain Bouquet Sylvain Itkine Léon Larive Robert Seller Eddy Debray Nicolas Amato Pons,Sylvia Bataille Suzy Dornac,,,,Wladyslaw Starewicz,Vincent Scotto,Irene Starewicz Wladyslaw Starewicz,Laura Sejourné,Louis Nalpas Roger Richebé,,,Jean Nohain Antoinette Nordmann Roger Richebé Irene Starewicz,0,1937,63,Adventure Animation Comedy
Le salaire de la peur,Yves Montand Charles Vanel Peter van Eyck Folco Lulli William Tubbs Darío Moreno Jo Dest Antonio Centa Luis De Lima,Véra Clouzot,,,,Armand Thirard,Georges Auric,Henri-Georges Clouzot,Madeleine Gug Etiennette Muse Henri Rust,,,,Georges Arnaud Henri-Georges Clouzot Jérôme Géronimi,0,1953,156,Adventure Drama Thriller
Le samouraï,Alain Delon François Périer Jacques Leroy Michel Boisrond Robert Favart Jean-Pierre Posier Roger Fradet,Nathalie Delon Cathy Rosier Catherine Jourdan,,,,Henri Decaë,François de Roubaix,Jean-Pierre Melville,Monique Bonnot Yolande Maurette,Raymond Borderie Eugène Lépicier,François de Lamothe,,Jean-Pierre Melville,0,1967,101,Crime Drama Thriller
Le sang d'un poète,Enrique Rivero Jean Desbordes Fernand Dichamps Lucien Jager Féral Benga Barbette Jean Cocteau,Lee Miller Pauline Carton Odette Talazac,,,,Georges Périnal,Georges Auric,Jean Cocteau,Jean Cocteau,,Jean d'Eaubonne,,Jean Cocteau,0,1932,55,Fantasy
Le scaphandre et le papillon,Mathieu Amalric Patrick Chesnais Niels Arestrup Jean-Pierre Cassel Max von Sydow,Emmanuelle Seigner Marie-Josée Croze Anne Consigny Olatz López Garmendia Marina Hands,,,,Janusz Kaminski,Paul Cantelon,Julian Schnabel,Juliette Welfling,Kathleen Kennedy Jon Kilik,Michel Eric Laurent Ott,,Ronald Harwood Jean-Dominique Bauby,0,2007,112,Biography Drama
Le secret de Chanda,Aubrey Poolo Thato Kgaladi,Khomotso Manyaka Keaobaka Makanyane Harriet Lenabe Lerato Mvelase Tinah Mnumzana Mapaseka Mathebe Kgomotso Ditshweni Rami Chuene,,,Moonyeenn Lee,Bernhard Jasper,Ali N. Askin Ian Osrin,Oliver Schmitz,Dirk Grau,Oliver Stoltz,,,Dennis Foon Oliver Schmitz Allan Stratton,0,2010,100,Drama
Le septième juré,Bernard Blier Maurice Biraud Jacques Riberolles Albert Rémy Francis Blanche Jacques Monod Camille Guérini Yves Barsacq,Danièle Delorme Catherine Le Couey,,,,Maurice Fellous,Jean Yatove,Georges Lautner,Michelle David,Lucien Viard,Robert Bouladoux,,Francis Didelot Jacques Robert Pierre Laroche,0,1962,90,Crime Drama
Le signe du lion,Jess Hahn Van Doude Paul Bisciglia Gilbert Edard Christian Alers Paul Crauchet,Michèle Girardon Jill Olivier Sophie Perrault Stéphane Audran,,,,Nicolas Hayer,Louis Saguer,Éric Rohmer,Anne-Marie Cotret Marie-Josèphe Yoyotte,Claude Chabrol,,,Paul Gégauff Éric Rohmer,0,1962,103,Drama
Le silence de Lorna,Jérémie Renier Fabrizio Rongione Alban Ukaj Morgan Marinne Olivier Gourmet Anton Yakovlev Grigori Manoukov,Arta Dobroshi Mireille Bailly Stéphanie Gob,,,,Alain Marcoen,,Jean-Pierre Dardenne Luc Dardenne,Marie-Hélène Dozo,Jean-Pierre Dardenne Luc Dardenne Denis Freyd,Igor Gabriel,,Jean-Pierre Dardenne Luc Dardenne,0,2008,105,Drama
Le silence de la mer,Howard Vernon Jean-Marie Robain Georges Patrix Denis Sadier Rudelle Max Fromm Claude Vernier Max Hermann,Nicole Stéphane Ami Aaröe,,,,Henri Decaë,Edgar Bischoff,Jean-Pierre Melville,,,,,Vercors Jean-Pierre Melville,0,1949,87,Drama Romance War
Le sommet des dieux,Lazare Herson-Macarel Éric Herson-Macarel Damien Boisseau Kylian Rehlinger François Dunoyer Philippe Vincent Luc Bernard Gauthier Battoue Marc Arnaud,Elisabeth Ventura,,,Céline Ronté,,Amin Bouhafa,Patrick Imbert,Benjamin Massoubre Camillelvis Théry,Damien Brunner Didier Brunner Jean-Charles Ostoréro Stéphan Roelants,,,Jirô Taniguchi Baku Yumemakura Magali Pouzol Patrick Imbert,0,2021,95,Adventure Animation Drama
Le souffle au coeur,Benoît Ferreux Daniel Gélin Michael Lonsdale Fabien Ferreux Marc Winocourt Henri Poirier,Lea Massari Ave Ninchi Gila von Weitershausen Micheline Bona,,,,Ricardo Aronovich,,Louis Malle,Suzanne Baron,Vincent Malle Claude Nedjar,Jean-Jacques Caziot,,Louis Malle,0,1971,118,Comedy Drama
Le soupirant,Pierre Étaix Claude Massot Robert Blome Pierre Maguelon,France Arnel Laurence Lignières Denise Péronne Karin Vesely Dominique Clément Dora Diana,,,,Pierre Levent,Jean Paillaud,Pierre Étaix,Pierre Gillette,,Raymond Tournon,,Pierre Étaix Jean-Claude Carrière,0,1962,83,Comedy
Le tableau,Jean Barney JB Blanc JB Blanc JB Blanc JB Blanc Steve Blum Steve Blum Julien Bouanich Colin DePaula Colin DePaula Serge Faliu Wayne Grayson Wayne Grayson Jason Griffith Jason Griffith Thierry Jahn,Chloé Berthier,,,,,Pascal Le Pennec,Jean-François Laguionie,,Eric Beckman Jason Chan Armelle Glorennec Eric Jacquot,,,Nicky Baker Jean-François Laguionie Anik Leray Stephanie Sheh,0,2011,80,Adventure Animation Drama
Le temps qui reste,Melvil Poupaud Daniel Duval Christian Sengewald Henri de Lorme Walter Pagano,Jeanne Moreau Valeria Bruni Tedeschi Marie Rivière Louise-Anne Hippeau Violetta Sanchez,,,Antoinette Boulat,Jeanne Lapoirie,,François Ozon,Monica Coleman,Olivier Delbosc Marc Missonnier,Katia Wyszkop,,François Ozon,0,2005,81,Drama
Le testament d'Orphée ou ne me demandez pas pourquoi,Charles Aznavour Yul Brynner,Françoise Arnoul Claudine Auger Lucia Bosè María Casares Françoise Christophe Michèle Comte Nicole Courcel,,,,Roland Pontoizeau,,Jean Cocteau,Marie-Josèphe Yoyotte,,Pierre Guffroy,Jean Cocteau,Jean Cocteau,0,1960,79,Biography Fantasy
Le tout nouveau testament,Benoît Poelvoorde François Damiens Serge Larivière Didier De Neck Marco Lorenzini Romain Gelin,Pili Groyne Catherine Deneuve Yolande Moreau Laura Verlinden,,,Michaël Bier Patrick Hella Nilton Martins,Christophe Beaucarne,An Pierlé,Jaco Van Dormael,Hervé de Luze,Daniel Marquet Olivier Rausin Jaco Van Dormael,Sylvie Olivé,,Thomas Gunzig Jaco Van Dormael,0,2015,114,Comedy Drama Fantasy
Le trou,André Bervil Jean Keraudy Michel Constantin Philippe Leroy Raymond Meunier Raymond Meunier Marc Michel Jean-Paul Coquelin Eddy Rasimi Albert Augier Jean Becker,,,,,Ghislain Cloquet,Philippe Arthuys,Jacques Becker,Marguerite Renoir Geneviève Vaury,Serge Silberman,Rino Mondellini,,José Giovanni Jacques Becker Jean Aurel,0,1960,131,Crime Drama Thriller
Le vieil homme et l'enfant,Michel Simon Roger Carel Paul Préboist Marco Perrin,Luce Fabiole Aline Bertrand Sylvine Delannoy Zorica Lozic Jacqueline Rouillard Denise Péron,,,,Jean Penzer,Georges Delerue,Claude Berri,Denise Charvein Sophie Coussein,,Georges Lévy Maurice Petri,,Claude Berri Gérard Brach Michel Rivelin,0,1967,86,Comedy Drama
